iter	RMSE
163	30810.96485
164	30787.36357
165	30768.14669
166	30745.81678
167	30701.33139
168	30671.58399
169	30634.27335
170	30624.71441
171	30571.86517
172	30554.98429
173	30539.89762
174	30523.14397
175	30507.16416
176	30484.5804
177	30478.66815
178	30471.60098
179	30429.4957
180	30409.89925
181	30386.82631
182	30344.8447
183	30327.63069
184	30316.7005
185	30293.61629
186	30289.10215
187	30263.73144
188	30217.35057
189	30177.83687
190	30145.6955
191	30126.56506
192	30120.61733
193	30114.59173
194	30107.84929
195	30090.68713
196	30081.98098
197	30063.74237
198	30047.6791
199	30031.84847
200	30025.423
201	30007.01668
202	29999.44911
203	29975.67585
204	29968.99246
205	29934.83426
206	29906.22487
207	29883.60727
208	29857.48949
209	29850.93151
210	29835.09348
211	29813.84239
212	29785.01178
213	29756.4715
214	29734.66397
215	29727.16298
216	29704.3226
217	29698.25304
218	29693.08418
219	29665.6782
220	29647.63231
221	29642.92407
222	29611.45321
223	29597.96006
224	29551.38596
225	29529.5427
226	29504.0419
227	29461.743
228	29429.6339
229	29413.21788
230	29390.4538
231	29373.99026
232	29354.01278
233	29332.11962
234	29327.15119
235	29321.81093
236	29317.40281
237	29297.88694
238	29271.80753
239	29256.81221
240	29250.19912
241	29244.48595
242	29226.1185
243	29196.16273
244	29182.18011
245	29165.32684
246	29148.80247
247	29123.40303
248	29108.78015
249	29080.80267
250	29075.88496
251	29059.21608
252	29054.82191
253	29037.87134
254	29006.23029
255	28991.17839
256	28985.64346
257	28981.34061
258	28921.93789
259	28917.73481
260	28900.41754
261	28849.60688
262	28844.92029
263	28841.02082
264	28830.23972
265	28804.61923
266	28801.1054
267	28797.42131
268	28794.08637
269	28790.62218
270	28786.58678
271	28760.73949
272	28757.60636
273	28753.7634
274	28740.10632
275	28725.37791
276	28705.92076
277	28690.0112
278	28678.63511
279	28675.64123
280	28672.75125
281	28656.77902
282	28641.39435
283	28626.26153
284	28598.28079
285	28565.36079
286	28559.81779
287	28528.57697
288	28524.16275
289	28497.38519
290	28467.89646
291	28438.1513
292	28433.25451
293	28430.509
294	28398.31723
295	28375.48537
296	28344.72541
297	28325.18198
298	28292.56697
299	28280.97431
300	28263.92054
301	28233.30511
302	28229.75073
303	28212.71904
304	28200.87455
305	28186.78473
306	28173.53511
307	28154.37637
308	28110.68479
309	28086.36292
310	28081.9584
311	28058.26775
312	28046.08024
313	28035.34134
314	28024.09059
315	28001.08981
316	27992.15844
317	27964.89846
318	27953.52565
319	27950.90372
320	27915.67994
321	27893.97503
322	27863.31387
323	27837.32565
324	27828.05488
325	27810.58219
326	27780.03232
327	27765.69245
328	27742.35543
329	27712.59189
330	27689.36898
331	27641.96617
332	27619.07827
333	27601.8807
334	27582.5803
335	27551.53708
336	27535.7147
337	27521.65322
338	27506.25331
339	27491.63679
340	27487.89795
341	27469.90809
342	27458.59687
343	27442.37073
344	27426.33044
345	27413.3545
346	27398.94961
347	27385.35332
348	27356.71241
349	27351.98113
350	27308.61672
351	27281.76825
352	27266.12968
353	27244.95212
354	27229.65229
355	27210.03527
356	27201.17188
357	27164.88404
358	27134.03009
359	27111.42586
360	27091.18009
361	27081.48903
362	27073.78422
363	27050.05231
364	27035.15895
365	27011.25965
366	26986.34936
367	26970.02204
368	26928.99462
369	26919.2876
370	26903.68443
371	26884.73134
372	26852.40705
373	26824.84413
374	26807.45124
375	26780.95644
376	26756.69032
377	26745.75541
378	26719.55358
379	26704.77315
380	26675.55305
381	26663.62239
382	26636.32097
383	26609.63273
384	26583.14618
385	26577.33228
386	26565.56068
387	26552.70355
388	26544.24624
389	26535.77549
390	26533.26775
391	26501.84127
392	26476.54299
393	26467.10267
394	26460.08821
395	26444.69028
396	26437.27315
397	26425.67024
398	26405.95855
399	26395.43754
400	26361.30269
401	26348.42723
402	26336.24169
403	26315.33133
404	26303.34188
405	26295.08158
